solver,bench,solution,runtime,confl,props,vprops,vivsucc
sticky,course0.12_2018_3_1.cnf,10,1254.6,2702361,8486177575,0,0
sticky,course0.16_2018_3_5.cnf,10,4515.66,8320010,26769389465,0,0
sticky,course0.2_2018_3_5.cnf,10,799.17,1844733,5276506753,0,0
sticky,course0.2_2018_3.cnf,10,8599.59,10514380,55093775406,0,0
sticky,courses0.2_2017_9.cnf,10,6904.74,8914791,44334779826,0,0
sticky,ctl_4291_567_8_unsat.cnf,20,5747.61,31535538,18173310090,0,0
sticky,cube-11-h13-unsat.cnf,20,516.63,256458,2228094500,0,0
sticky,cz-3-7-7.cnf,20,2496.24,9691055,12356852139,0,0
sticky,cz-alt-3-7.cnf,20,4755.78,16948485,22402499782,0,0
sticky,dist10.c.cnf,20,318.57,2259340,1509437129,0,0
sticky,dist4.c.cnf,20,386.52,2734098,1830410360,0,0
sticky,dist5.c.cnf,20,320.16,2249644,1499466491,0,0
sticky,dist6.c.cnf,20,363.69,2567400,1658941437,0,0
sticky,dist7.c.cnf,20,360.21,2627681,1667018790,0,0
sticky,dist8.c.cnf,20,329.16,2437315,1585483864,0,0
sticky,dist9.c.cnf,20,348.69,2473361,1614515015,0,0
sticky,div2.c.20.smt2-stp212.cnf,10,49.74,164467,162377857,0,0
sticky,e_rphp035_05.cnf,20,1375.38,36716826,1294473108,0,0
sticky,e_rphp055_04.cnf,20,147.72,5776632,257792558,0,0
sticky,e_rphp065_04.cnf,20,336.3,11809427,586228857,0,0
sticky,e_rphp096_04.cnf,20,2825.79,60061241,4304782390,0,0
sticky,E02F22.cnf,10,3972.36,1957128,821369160,0,0
sticky,e2_1.c.smt2-stp212.cnf,10,4.47,6124,4223196,0,0
sticky,e2_2.c.smt2-cvc4.cnf,10,1.77,2176,1086521,0,0
sticky,e2a_2.c.smt2-cvc4.cnf,10,1.56,1299,631121,0,0
sticky,ecarev-110-1031-23-40-1.cnf,10,838.56,10305580,1378891760,0,0
sticky,ecarev-110-1031-23-40-2.cnf,10,455.43,5994917,870288161,0,0
sticky,ecarev-110-1031-23-40-3.cnf,20,380.91,4947192,632550493,0,0
sticky,ecarev-110-1031-23-40-5.cnf,10,871.53,10331742,1378931043,0,0
sticky,ecarev-110-1031-23-40-6.cnf,10,2798.79,27316246,3509375668,0,0
sticky,ecarev-110-1031-23-40-7.cnf,10,632.19,7791811,1028100030,0,0
sticky,ecarev-110-1031-23-40-8.cnf,10,1737.36,18909811,2440950028,0,0
sticky,ecarev-110-4099-22-30-2.cnf,10,1060.41,12925906,2837764893,0,0
sticky,ecarev-110-4099-22-30-4.cnf,10,1182.51,15337553,3143678773,0,0
sticky,ecarev-110-4099-22-30-5.cnf,10,1100.91,14388981,2930297441,0,0
sticky,ecarev-110-4099-22-30-7.cnf,10,856.23,10815939,2513500173,0,0
sticky,eq.atree.braun.11.unsat.cnf,20,759.9,6377021,937793337,0,0
sticky,eq.atree.braun.12.unsat.cnf,20,3043.74,17083029,2711121847,0,0
sticky,ex009_10.cnf,10,11535,34136959,54675736882,0,0
sticky,ex015_14.cnf,20,13260,52025610,48754309602,0,0
sticky,ex039_33.cnf,10,196.92,1667518,964772936,0,0
sticky,ex045_7.cnf,10,13092,33320878,72796579998,0,0
sticky,ex051_9.cnf,20,14274,68185976,23077533466,0,0
sticky,ex065_25.cnf,10,156.81,1678757,787691625,0,0
sticky,ex067_10.cnf,10,740.43,6455782,3134471446,0,0
sticky,ex095_8.cnf,20,10493.82,24580629,67958159379,0,0
sticky,ex157_10.cnf,10,937.14,7002708,4237988931,0,0
sticky,ex175_18.cnf,10,9122.19,15056254,56703435378,0,0
sticky,ex175_20.cnf,10,2903.13,3536456,15013783333,0,0
sticky,ex179_11.cnf,10,2339.85,17434672,10240130016,0,0
sticky,ex187_10.cnf,10,607.71,4528537,2683389050,0,0
sticky,exam0.04_2018_3.cnf,10,707.88,564943,5832735450,0,0
sticky,factoring29986577x29986577.cnf,10,568.44,4289578,1248211112,0,0
sticky,factoring39916801x54018521.cnf,10,2604.84,12813439,3991448076,0,0
sticky,factoring87654321x12345678.cnf,10,502.41,3997855,1239545031,0,0
sticky,filter_iir_true-unreach-call.c.cnf,20,1860.12,4847766,14814902135,0,0
sticky,filter1_true-unreach-call.c.cnf,20,763.53,5674651,5224343975,0,0
sticky,frb35-17-5_ext.cnf,10,48.27,2164999,21019100,0,0
sticky,frb35-17-5-mgd_ext.cnf,10,91.14,3090197,31483969,0,0
sticky,full-ax-xa.rules.7-7.cnf,10,1138.62,1579580,7478927977,0,0
